时间,x轴加速度m/s^2,y轴加速度m/s^2,z轴加速度m/s^2,方位角/度,绕x轴旋转的角度/度,绕y轴顺时针旋转的角度/度,x轴角速度P/rad/s,y轴角速度/rad/s,z轴角速度/rad/s,x轴磁场强度/uT,y轴磁场强度/uT,z轴磁场强度/uT,x轴重力加速度m/s^2,y轴重力加速度m/s^2,z轴重力加速度m/s^2,x轴线性加速度m/s^2,y轴线性加速度m/s^2,z轴线性加速度m/s^2,环境光强度/lux,大气压/hPa,0/5,
36,-0.022133609279990196,1.4997016191482544,9.320642471313477,7.363314151763916,-11.432263374328613,-0.6941377520561218,-0.16233743727207184,-0.11575896292924881,0.04749477282166481,-2.635200023651123,25.131999969482422,-37.14899826049805,0.09507931023836136,1.8485230207443237,9.633796691894531,-0.11706514656543732,-0.34870028495788574,-0.3129587173461914,9.489999771118164,1004.2467041015625,5,
69,0.17168502509593964,1.373480200767517,10.228120803833008,7.405032157897949,-10.865852355957031,-0.2627449929714203,-0.2330450862646103,-0.16920967400074005,-0.0074830991216003895,-0.7807999849319458,26.413000106811523,-38.14939880371094,0.16817213594913483,1.7533917427062988,9.650567054748535,0.0036606639623641968,-0.37979042530059814,0.5777492523193359,9.489999771118164,1004.2537841796875,5,
81,0.05742774158716202,1.4536397457122803,10.314860343933105,7.4398369789123535,-10.65820598602295,-0.12362726032733917,-0.2330450862646103,-0.16920967400074005,-0.0074830991216003895,-2.171599864959717,25.717599868774414,-38.45439910888672,0.1916131228208542,1.7185441255569458,9.656396865844727,-0.13403761386871338,-0.2647831439971924,0.6586589813232422,9.489999771118164,1004.2537841796875,5,
92,0.05742774158716202,1.4536397457122803,10.314860343933105,7.4398369789123535,-10.65820598602295,-0.12362726032733917,-0.12476922571659088,-0.08475755155086517,-0.0064140851609408855,-2.879199981689453,25.656599044799805,-37.539398193359375,0.1916131228208542,1.7185441255569458,9.656396865844727,-0.13403761386871338,-0.2647831439971924,0.6586589813232422,9.489999771118164,1004.2616577148438,5,
103,0.14656038582324982,1.4733805656433105,10.262816429138184,7.454080581665039,-10.578182220458984,-0.09151656925678253,-0.02779436856508255,0.056810468435287476,-0.01817324012517929,-2.879199981689453,25.656599044799805,-37.539398193359375,0.19669954478740692,1.7051864862442017,9.658661842346191,-0.04999138414859772,-0.23168480396270752,0.6043500900268555,9.489999771118164,1004.2616577148438,5,
113,0.09092725813388824,1.454836130142212,9.908679008483887,7.454080581665039,-10.578182220458984,-0.09151656925678253,-0.02779436856508255,0.056810468435287476,-0.01817324012517929,-1.2932000160217285,26.559398651123047,-36.148597717285156,0.19669954478740692,1.7051864862442017,9.658661842346191,-0.08414072543382645,-0.24865210056304932,0.24952030181884766,9.489999771118164,1004.242919921875,5,
123,0.09092725813388824,1.454836130142212,9.908679008483887,7.455926418304443,-10.567704200744629,-0.2145024836063385,0.0013744467869400978,0.17027868330478668,-0.02825251780450344,-1.2932000160217285,26.559398651123047,-36.148597717285156,0.17521576583385468,1.7036094665527344,9.659354209899902,-0.08414072543382645,-0.24865210056304932,0.24952030181884766,9.489999771118164,1004.242919921875,5,
133,0.09032905846834183,1.4979069232940674,9.903892517089844,7.449503421783447,-10.569838523864746,-0.4340879023075104,0.0013744467869400978,0.17027868330478668,-0.02825251780450344,-1.5615999698638916,26.43739891052246,-35.75819778442383,0.13717816770076752,1.704171895980835,9.659869194030762,-0.0467013344168663,-0.20614373683929443,0.24421977996826172,9.489999771118164,1004.24072265625,5,
143,0.09032905846834183,1.4979069232940674,9.903892517089844,7.449503421783447,-10.569838523864746,-0.4340879023075104,0.0022907445672899485,0.2652682363986969,-0.039248090237379074,-1.5615999698638916,26.43739891052246,-35.75819778442383,0.13717816770076752,1.704171895980835,9.659869194030762,-0.0467013344168663,-0.20614373683929443,0.24421977996826172,9.489999771118164,1004.24072265625,5,
153,0.024526432156562805,1.4452649354934692,9.884750366210938,7.432165622711182,-10.567584037780762,-0.760572612285614,0.0022907445672899485,0.2652682363986969,-0.039248090237379074,-2.769399881362915,25.632200241088867,-36.74639892578125,0.08082138746976852,1.7039498090744019,9.660545349121094,-0.05614718049764633,-0.258563756942749,0.22440052032470703,9.489999771118164,1004.2152099609375,5,
165,0.024526432156562805,1.4452649354934692,9.884750366210938,7.432165622711182,-10.567584037780762,-0.760572612285614,-0.0010690141934901476,0.36880987882614136,-0.0403171069920063,-2.769399881362915,25.632200241088867,-36.74639892578125,0.08082138746976852,1.7039498090744019,9.660545349121094,-0.05614718049764633,-0.258563756942749,0.22440052032470703,9.489999771118164,1004.2152099609375,5,
175,-0.08673982322216034,1.277767300605774,9.759127616882324,7.395885467529297,-10.559391975402832,-1.1752914190292358,0.00045814894838258624,0.4216497242450714,-0.03588833287358284,-0.14640000462532043,25.912799835205078,-36.258399963378906,0.00932974461466074,1.7025691270828247,9.661121368408203,-0.09592179208993912,-0.4246807098388672,0.09820175170898438,9.489999771118164,1004.2139282226562,5,
186,-0.2273181527853012,1.196411371231079,9.64367389678955,7.345169544219971,-10.555917739868164,-1.6185519695281982,0.00045814894838258624,0.4216497242450714,-0.03588833287358284,-0.14640000462532043,25.912799835205078,-36.258399963378906,-0.0670686662197113,1.7018228769302368,9.661025047302246,-0.16010171175003052,-0.5052903890609741,-0.01715564727783203,9.489999771118164,1004.2139282226562,5,
196,-0.2273181527853012,1.196411371231079,9.64367389678955,7.345169544219971,-10.555917739868164,-1.6185519695281982,-0.001527163083665073,0.3825543522834778,-0.020616702735424042,-0.5001999735832214,25.82740020751953,-36.331600189208984,-0.0670686662197113,1.7018228769302368,9.661025047302246,-0.16010171175003052,-0.5052903890609741,-0.01715564727783203,9.489999771118164,1004.2152099609375,5,
206,-0.251844584941864,1.3465609550476074,9.008976936340332,7.29719352722168,-10.532170295715332,-1.9393365383148193,-0.001527163083665073,0.3825543522834778,-0.020616702735424042,-0.5001999735832214,25.82740020751953,-36.331600189208984,-0.12250224500894547,1.6976678371429443,9.661211967468262,-0.12919455766677856,-0.3509857654571533,-0.65203857421875,9.489999771118164,1004.2152099609375,5,
216,-0.251844584941864,1.3465609550476074,9.008976936340332,7.29719352722168,-10.532170295715332,-1.9393365383148193,-0.08261952549219131,0.17501288652420044,0.0019853119738399982,-0.9515999555587769,25.961599349975586,-36.465797424316406,-0.12250224500894547,1.6976678371429443,9.661211967468262,-0.12919455766677856,-0.3509857654571533,-0.65203857421875,9.489999771118164,1004.2119140625,5,
228,-0.3170489966869354,1.2544373273849487,9.294919967651367,7.272024154663086,-10.396103858947754,-2.021728515625,-0.08261952549219131,0.17501288652420044,0.0019853119738399982,-0.9515999555587769,25.961599349975586,-36.465797424316406,-0.13707876205444336,1.6746896505355835,9.66502571105957,-0.17982247471809387,-0.42013120651245117,-0.36991024017333984,9.489999771118164,1004.2119140625,5,
239,-0.30149564146995544,1.0809576511383057,9.772287368774414,7.272024154663086,-10.396103858947754,-2.021728515625,-0.16401731967926025,0.024892758578062057,0.02474004216492176,-2.64739990234375,24.997798919677734,-36.13639831542969,-0.13707876205444336,1.6746896505355835,9.66502571105957,-0.17982247471809387,-0.42013120651245117,-0.36991024017333984,9.489999771118164,1004.19677734375,5,
251,-0.30149564146995544,1.0809576511383057,9.772287368774414,7.227231979370117,-10.206141471862793,-2.025866746902466,-0.16371189057826996,0.031154127791523933,0.058184914290905,-1.6469999551773071,25.53459930419922,-36.12419891357422,-0.1382841020822525,1.642519235610962,9.670528411865234,-0.16306377947330475,-0.5614404678344727,0.10195541381835938,9.489999771118164,1004.1890258789062,5,
261,-0.16450655460357666,1.0923235416412354,9.547362327575684,7.14863920211792,-10.038619041442871,-2.0557713508605957,-0.16371189057826996,0.031154127791523933,0.058184914290905,-1.6469999551773071,25.53459930419922,-36.12419891357422,-0.14396020770072937,1.613999605178833,9.675246238708496,-0.020398586988449097,-0.5215549468994141,-0.12768840789794922,9.489999771118164,1004.1890258789062,5,
272,-0.16450655460357666,1.0923235416412354,9.547362327575684,7.14863920211792,-10.038619041442871,-2.0557713508605957,-0.156686931848526,0.0734565481543541,0.08949175477027893,-0.6832000017166138,25.619998931884766,-34.91640090942383,-0.14396020770072937,1.613999605178833,9.675246238708496,-0.020398586988449097,-0.5215549468994141,-0.12768840789794922,9.489999771118164,1004.1901245117188,5,
282,-0.33080771565437317,1.1629117727279663,9.562317848205566,7.020323276519775,-9.880657196044922,-2.1200897693634033,-0.156686931848526,0.0734565481543541,0.08949175477027893,-0.6832000017166138,25.619998931884766,-34.91640090942383,-0.15561510622501373,1.5869171619415283,9.679544448852539,-0.17504484951496124,-0.42388415336608887,-0.11703109741210938,9.489999771118164,1004.1901245117188,5,
293,-0.4911268353462219,1.2203395366668701,9.266205787658691,7.020323276519775,-9.880657196044922,-2.1200897693634033,-0.13897185027599335,0.04902193695306778,0.13988813757896423,-0.2683999836444855,26.4862003326416,-36.30719757080078,-0.15561510622501373,1.5869171619415283,9.679544448852539,-0.17504484951496124,-0.42388415336608887,-0.11703109741210938,9.489999771118164,1004.2088012695312,5,
303,-0.4911268353462219,1.2203395366668701,9.266205787658691,6.863983154296875,-9.751551628112793,-2.0918381214141846,-0.09010262042284012,-0.11621711403131485,0.1638645976781845,-0.2683999836444855,26.4862003326416,-36.30719757080078,-0.15147548913955688,1.5646798610687256,9.683229446411133,-0.33950358629226685,-0.3442190885543823,-0.4168281555175781,9.489999771118164,1004.2088012695312,5,
315,-0.23688943684101105,1.2687941789627075,9.366703987121582,6.722733497619629,-9.692765235900879,-1.857962727546692,-0.09010262042284012,-0.11621711403131485,0.1638645976781845,-0.4635999798774719,26.522798538208008,-35.3922004699707,-0.11211173981428146,1.5544586181640625,9.68541145324707,-0.1246299222111702,-0.28554320335388184,-0.3185110092163086,9.489999771118164,1004.2098999023438,5,
326,-0.23688943684101105,1.2687941789627075,9.366703987121582,6.722733497619629,-9.692765235900879,-1.857962727546692,-0.025961773470044136,-0.2848159074783325,0.18066339194774628,-0.4635999798774719,26.522798538208008,-35.3922004699707,-0.11211173981428146,1.5544586181640625,9.68541145324707,-0.1246299222111702,-0.28554320335388184,-0.3185110092163086,9.489999771118164,1004.2098999023438,5,
340,-0.037088751792907715,1.1078768968582153,9.332008361816406,6.586889743804932,-9.677129745483398,-1.473327398300171,-0.008246680721640587,-0.35811975598335266,0.19608774781227112,1.1345999240875244,27.254798889160156,-36.23400115966797,-0.046920400112867355,1.5515106916427612,9.686419486999512,0.009979426860809326,-0.4435126781463623,-0.3542156219482422,9.489999771118164,1004.2216796875,5,
351,0.03888336941599846,1.430907964706421,9.989436149597168,6.452712535858154,-9.687891006469727,-1.0928627252578735,-0.008246680721640587,-0.35811975598335266,0.19608774781227112,-0.23179998993873596,26.559398651123047,-36.09980010986328,0.017557216808199883,1.5530240535736084,9.686274528503418,0.021473931148648262,-0.1219949722290039,0.3033580780029297,9.489999771118164,1004.227294921875,5,
361,0.03888336941599846,1.430907964706421,9.989436149597168,6.452712535858154,-9.687891006469727,-1.0928627252578735,0.047800205647945404,-0.28955012559890747,0.15454891324043274,-0.23179998993873596,26.559398651123047,-36.09980010986328,0.017557216808199883,1.5530240535736084,9.686274528503418,0.021473931148648262,-0.1219949722290039,0.3033580780029297,9.489999771118164,1004.227294921875,5,
372,-0.05802594870328903,1.8005990982055664,9.122037887573242,6.3597092628479,-9.7522611618042,-0.7805521488189697,0.047800205647945404,-0.28955012559890747,0.15454891324043274,-2.0495998859405518,26.75459861755371,-38.551998138427734,0.07041662931442261,1.5638035535812378,9.684300422668457,-0.12829479575157166,0.2369166612625122,-0.5620660781860352,9.489999771118164,1004.2625122070312,5,
388,-0.129810631275177,1.3992030620574951,9.214759826660156,6.309475898742676,-9.716450691223145,-0.40836912393569946,0.01771509274840355,-0.318566232919693,0.12629638612270355,-2.0495998859405518,26.75459861755371,-38.551998138427734,0.13361231982707977,1.5576350688934326,9.6846284866333,-0.263275146484375,-0.1583108901977539,-0.46967220306396484,9.489999771118164,1004.2625122070312,5,
398,-0.129810631275177,1.3992030620574951,9.214759826660156,6.309475898742676,-9.716450691223145,-0.40836912393569946,-0.11713340878486633,-0.37888917326927185,0.09498954564332962,-1.9886000156402588,26.339799880981445,-37.57600021362305,0.13361231982707977,1.5576350688934326,9.6846284866333,-0.263275146484375,-0.1583108901977539,-0.46967220306396484,9.489999771118164,1004.28173828125,5,
408,-0.8201399445533752,0.9906286001205444,10.101899147033691,6.270387172698975,-9.547307014465332,0.0026465379633009434,-0.11713340878486633,-0.37888917326927185,0.09498954564332962,-1.9886000156402588,26.339799880981445,-37.57600021362305,0.20349042117595673,1.5287853479385376,9.688008308410645,-1.0234825611114502,-0.5380356907844543,0.41408634185791016,9.489999771118164,1004.2542724609375,5,
419,-0.8201399445533752,0.9906286001205444,10.101899147033691,6.270387172698975,-9.547307014465332,0.0026465379633009434,-0.13271047174930573,-0.19226983189582825,0.13118331134319305,0.9027999639511108,27.14499855041504,-34.97739791870117,0.20349042117595673,1.5287853479385376,9.688008308410645,-1.0234825611114502,-0.5380356907844543,0.41408634185791016,9.489999771118164,1004.2542724609375,5,
429,-0.6514459848403931,0.9236295223236084,11.827722549438477,6.107784748077393,-9.448283195495605,-0.04880303889513016,-0.027641652151942253,0.3121521472930908,0.20906862616539001,0.9027999639511108,27.14499855041504,-34.97739791870117,0.1940024346113205,1.511554479598999,9.690906524658203,-0.8453006744384766,-0.587803840637207,2.1370115280151367,9.489999771118164,1004.2542724609375,5,
440,-0.3409772217273712,0.8303094506263733,9.072386741638184,5.757579326629639,-9.391050338745117,-0.33361244201660156,-0.027641652151942253,0.3121521472930908,0.20906862616539001,-0.04879999905824661,26.681400299072266,-34.562599182128906,0.14422275125980377,1.5008580684661865,9.693437576293945,-0.485052227973938,-0.6704275012016296,-0.620854377746582,9.489999771118164,1004.2978515625,5,
450,-0.3409772217273712,0.8303094506263733,9.072386741638184,5.757579326629639,-9.391050338745117,-0.33361244201660156,-0.18219055235385895,0.16829337179660797,0.38087448477745056,-0.04879999905824661,26.681400299072266,-34.562599182128906,0.14422275125980377,1.5008580684661865,9.693437576293945,-0.485052227973938,-0.6704275012016296,-0.620854377746582,9.489999771118164,1004.3142700195312,5,
461,-0.40378883481025696,1.456032633781433,8.755936622619629,5.326519966125488,-9.136347770690918,-0.3438529968261719,-0.18219055235385895,0.16829337179660797,0.38087448477745056,-1.354200005531311,26.522798538208008,-35.40439987182617,0.14126990735530853,1.4565069675445557,9.700243949890137,-0.5449109673500061,-0.00035321712493896484,-0.9441118240356445,9.489999771118164,1004.3142700195312,5,
471,-0.40378883481025696,1.456032633781433,8.755936622619629,5.326519966125488,-9.136347770690918,-0.3438529968261719,-0.24846944212913513,-0.018020525574684143,0.38927388191223145,0.4757999777793884,27.340200424194336,-35.45319747924805,0.14126990735530853,1.4565069675445557,9.700243949890137,-0.5449109673500061,-0.00035321712493896484,-0.9441118240356445,9.489999771118164,1004.3416748046875,5,
483,-0.649053156375885,0.9523434042930603,9.235696792602539,4.925766468048096,-8.874820709228516,-0.18036288022994995,-0.2741257846355438,-0.23594669997692108,0.5071708559989929,0.4757999777793884,27.340200424194336,-35.45319747924805,0.16812339425086975,1.4108928442001343,9.706555366516113,-0.8170287609100342,-0.4584283232688904,-0.47066211700439453,9.489999771118164,1004.3416748046875,5,
494,-1.3040883541107178,-0.019740786403417587,9.128618240356445,4.363216400146484,-8.544212341308594,0.2195633351802826,-0.2741257846355438,-0.23594669997692108,0.5071708559989929,1.9397999048233032,28.255199432373047,-35.17259979248047,0.2351858764886856,1.3526674509048462,9.713448524475098,-1.5391263961791992,-1.3722871541976929,-0.5846338272094727,9.489999771118164,1004.3536987304688,5,
504,-1.3040883541107178,-0.019740786403417587,9.128618240356445,4.363216400146484,-8.544212341308594,0.2195633351802826,-0.30925053358078003,-0.3988949954509735,0.6950119137763977,1.9397999048233032,28.255199432373047,-35.17259979248047,0.2351858764886856,1.3526674509048462,9.713448524475098,-1.5391263961791992,-1.3722871541976929,-0.5846338272094727,9.489999771118164,1004.3536987304688,5,
514,-0.8123632669448853,2.073979139328003,10.099506378173828,3.6761629581451416,-8.258211135864258,0.8002158403396606,-0.30925053358078003,-0.3988949954509735,0.6950119137763977,1.9031999111175537,27.86479949951172,-34.562599182128906,0.3328436613082886,1.3017995357513428,9.71754264831543,-1.1450591087341309,0.7723007202148438,0.3821592330932617,9.489999771118164,1004.4139404296875,5,
524,-0.8123632669448853,2.073979139328003,10.099506378173828,3.6761629581451416,-8.258211135864258,0.8002158403396606,-0.17592918872833252,-0.5161811113357544,0.7057020664215088,1.9031999111175537,27.86479949951172,-34.562599182128906,0.3328436613082886,1.3017995357513428,9.71754264831543,-1.1450591087341309,0.7723007202148438,0.3821592330932617,9.489999771118164,1004.4139404296875,5,
534,-0.8620143532752991,2.7912275791168213,9.535398483276367,3.0811691284179688,-8.159003257751465,1.464735984802246,-0.17592918872833252,-0.5161811113357544,0.7057020664215088,1.7689999341964722,27.620800018310547,-33.78179931640625,0.4449685513973236,1.2829158306121826,9.715566635131836,-1.3068351745605469,1.5084328651428223,-0.17997264862060547,9.489999771118164,1004.6098022460938,5,
545,-0.8620143532752991,2.7912275791168213,9.535398483276367,3.0811691284179688,-8.159003257751465,1.464735984802246,-0.008704829961061478,-0.7429648637771606,0.5665774941444397,1.7689999341964722,27.620800018310547,-33.78179931640625,0.4449685513973236,1.2829158306121826,9.715566635131836,-1.3068351745605469,1.5084328651428223,-0.17997264862060547,9.489999771118164,1004.6098022460938,5,
